,X,Y,Z,represx,represy,represz,repres,cat
graveler,9.816619189023623,-4.36917808418001,9.138779421509085,0.03134862547984552,0.006210035868116212,0.027168834335641597,0.06472749568360334,FU
golem,15.548281922337683,-5.002240617203476,9.127588162933446,0.05648037392485194,0.005846041667678791,0.01946457039763147,0.0817909859901622,PU
ponyta,-2.325973273297712,-4.807784058436509,-6.6479262652305815,0.0023031361001736206,0.00984011261164492,0.018814061101500773,0.030957309813319314,FU
rapidash,1.4291793303644313,-3.7158494226803183,-7.375422830008079,0.0005989735543174288,0.004049024535379627,0.015951739231378156,0.02059973732107521,FU
slowpoke,-4.588217044090559,6.561681465580655,4.624125947838349,0.0063552556511457265,0.012997966267171321,0.00645512158414737,0.025808343502464418,FU
slowbro,5.588559983397704,17.866975285115597,9.103687732371252,0.005777825935928352,0.05905636254886322,0.015332018183097085,0.08016620666788865,OU
magnemite,-7.232049897851161,3.997543005838481,0.8324365040152663,0.01089900381750301,0.003330046255896237,0.00014439967313604901,0.014373449746535297,FU
magneton,-6.645996614959378,5.278268084502897,-0.8192713926100774,0.006793272394348195,0.0042849098216415984,0.00010323200880953907,0.011181414224799334,RU
farfetch'd,-1.2935584345718238,-4.5388741188492485,-15.945562929693377,0.0005016563119718851,0.006176329445128014,0.0762278882292245,0.08290587398632439,FU
doduo,-4.317756428858474,-6.004303236237996,-10.574536219519695,0.004122054403606928,0.007971181081880106,0.024724077631036463,0.036817313116523497,FU
dodrio,-1.9403688988512182,-5.326273796192645,-13.722275493905236,0.0006191556895672974,0.004665285575084004,0.030965887135753503,0.036250328400404805,PU
seel,-4.3201315227380075,-6.922615803309437,6.48376907693836,0.008631448088539488,0.022163083587317695,0.019442172992284446,0.05023670466814163,FU
dewgong,0.364769538994012,-0.8647237593701038,6.772431148181973,3.732285628121135e-05,0.00020974543997297847,0.012865508048302776,0.013112576344556965,FU
grimer,-2.2848841294659907,-2.810038509686785,7.76875155762796,0.0010467526240386963,0.0015832162520658906,0.012100913657054036,0.014730882533158622,FU
muk,5.040516324788433,4.589686046715893,10.618978030100322,0.002666739863892054,0.002211039798153794,0.011835757170229543,0.01671353683227539,NU
shellder,-5.457830955529006,-7.744413457115014,6.020100069812658,0.006209830068285435,0.012503068696163244,0.0075552175865269845,0.026268116350975666,FU
cloyster,-0.14812971567352573,-3.9272613391470097,8.507844538732355,2.7598047651140437e-06,0.0019398742861299419,0.009104017268997637,0.011046651359892693,UU
gastly,-8.14600423171359,9.334335196287316,2.7163251877455847,0.021680281966445676,0.0284670489533587,0.0024106778915315916,0.05255800881133597,FU
haunter,-7.060850050295555,11.831463709073775,3.5736044992285265,0.009190679003539018,0.025805398663097927,0.0023542175526692004,0.03735029521930615,PU
gengar,0.10024758654520127,19.80437831522255,7.105283227220976,1.5988515279127863e-06,0.06239973028058066,0.008031988410602237,0.07043331754271082,OU
onix,8.296113431764976,-8.567419545607004,1.8031854657977995,0.02383810194336024,0.02542274136790653,0.0011261678012811165,0.05038701111254789,FU
drowzee,-9.33046670915294,2.168351899998436,3.109033786862477,0.04837942036640297,0.0026128438451895153,0.005371614145549926,0.056363878357142405,FU
hypno,-1.4756793144417228,24.662248103294804,8.530124699778105,0.0004733871637609983,0.13222020415394092,0.015817697238373847,0.14851128855607576,FU
krabby,-4.496042940217112,-10.421460282940302,2.7788190915976463,0.0070484766468278375,0.03786966993152688,0.002692495042765591,0.04761064162112031,FU
kingler,5.380308314540912,-5.728821320874254,2.174446508956557,0.008219500059010653,0.009318835176453887,0.0013425440167873417,0.018880879252251882,FU
voltorb,-10.3572843437904,-2.4245056181620317,2.7898276634389987,0.032661453505467564,0.0017897406361143922,0.0023697277919038423,0.0368209219334858,FU
electrode,-6.446846452110664,2.7353566972507637,0.7787026889151096,0.007846602493035893,0.0014125861172824246,0.00011448019159105044,0.009373668801909369,PU
exeggcute,-9.950421141444457,-5.228867441968417,1.6950372515017835,0.0408654250289608,0.011284656918894014,0.001185855002343055,0.05333593695019787,FU
exeggutor,-8.007734352185171,9.374484806401401,-0.12526996053300787,0.0100512297370774,0.013775098206273883,2.459765839502498e-06,0.023828787709190783,NU
cubone,3.640568609342248,-6.630872879013613,5.939251969987853,0.0025605751915509303,0.0084945523567218,0.006814948748828115,0.017870076297100846,FU
marowak,15.615001147127408,-3.2357284394977897,7.719260978454673,0.031665638357063944,0.0013597164090921477,0.007738479827716659,0.04076383459387275,PU
hitmonlee,13.812443329247944,-3.491853900788799,11.321603133527834,0.023823317287875845,0.0015225562472189465,0.0160057883847256,0.04135166191982039,RU
hitmonchan,12.70811531247325,-0.9660352891815593,12.839839937503339,0.023907609302106947,0.0001381528469676194,0.024405801559693237,0.048451563708767804,RU
lickitung,7.57627814116424,2.9069268259408343,9.625126250501925,0.012709424104231088,0.001871036462907212,0.020512893310883615,0.03509335387802191,FU
koffing,-5.66896087247667,-2.5932999831791546,1.8896849242889866,0.013925424022685465,0.002914117262879232,0.001547320594065479,0.018386861879630175,FU
weezing,-2.3872772759579215,-0.3181169653578202,0.8001251909209741,0.0015111840664902116,2.6833992833788597e-05,0.00016975693499577868,0.0017077749943197789,NU
rhyhorn,4.399079282321205,-9.9846151384295,3.584451536514309,0.0061274611165627515,0.031566006722980385,0.004068201087526098,0.041761668927069236,FU
rhydon,28.20356134005337,-4.713713386533154,6.515110076814629,0.1061379901275653,0.0029647583500129414,0.005663781261704851,0.11476652973928309,NU
chansey,6.256912598038262,21.914295322045266,10.416972189264875,0.004902273873529299,0.06013570590730695,0.013588152200145996,0.07862613198098226,OU
tangela,-7.962525851315126,-1.557026822163158,2.276414574074326,0.0159608939352738,0.0006103060693828212,0.0013045424500789076,0.017875742454735527,PU
kangaskhan,19.787665227756293,4.49345538871086,10.420351459959267,0.04688083155230875,0.002417503249872445,0.013000825594057333,0.06229916039623853,NU
horsea,-7.981638877557115,-8.4839524149721,3.6099857719135335,0.11159307175124739,0.12608096698729318,0.022827800240699962,0.2605018389792405,FU
seadra,-0.6122290639618857,-3.5426906957496875,2.5653453209884205,0.00010912637929384314,0.0036539982410492807,0.0019159912790331333,0.005679115899376257,FU
goldeen,-10.01575802607712,-8.892479608971357,3.3468338912704794,0.20371641215197245,0.16058468616912974,0.02274713408690063,0.38704823240800285,PU
seaking,0.6390088387297261,-3.596954443274294,4.227971219800099,0.00014818784557831034,0.004695358186880169,0.006487283810265184,0.011330829842723662,FU
staryu,-10.247671235639286,3.4170298931879826,4.8688527856873165,0.021736477698262462,0.0024167757705282054,0.0049067291852836975,0.029059982654074366,FU
starmie,-6.670275945641564,18.076485977473332,5.8865813106828915,0.005559614169296697,0.04083053483111381,0.004329954632234681,0.05072010363264519,UU
mr. mime,-3.184619892781666,28.862332111721688,8.656020869491316,0.0008923116939789301,0.07329328999212315,0.006592315242816373,0.08077791692891846,PU
scyther,1.9856987392669292,-5.95960421572992,-12.933614083426548,0.0006072977316982353,0.005470282767158349,0.02576408571117075,0.03184166621002733,PU
jynx,-1.803665849432237,23.612747107296382,11.039415776932415,0.00028131075991580265,0.04821333914054912,0.010538198140142136,0.05903284804060706,NU
electabuzz,3.175550709710815,5.236896413801146,6.830706388524355,0.002982088225724136,0.008110177337993523,0.013797919899286833,0.02489018546300449,FU
magmar,6.5775348976342025,0.1948542527335242,2.3147786423888466,0.00871695975872429,7.649948241681462e-06,0.0010795870153485958,0.009804196722314567,FU
pinsir,11.35647490436337,-6.8084473999943524,0.2340112990136134,0.015682136311284407,0.005636562235559859,6.658735870522769e-06,0.021325357282714792,OU
tauros,8.129162637187305,-2.911495642549386,0.04119043821166262,0.011935885533511931,0.0015310709249726473,3.0644733224865145e-07,0.013467262905816827,PU
magikarp,-9.578545410107846,-9.297852487874396,3.861556450959926,0.08931827804524536,0.08416015376318846,0.01451663619111339,0.1879950679995472,FU
gyarados,11.239957699579925,-2.7184665389645124,-2.973917962085184,0.03249386386196715,0.0019007280612186204,0.0022747306057628747,0.03666932252894864,OU
lapras,3.7452521760951187,4.038556399039083,3.197675210497642,0.0035005464033074957,0.004070296190751761,0.0025517751819993644,0.01012261777605862,FU
ditto,-9.443104424451105,-8.67177905663441,3.312980473325804,0.12742188798611878,0.10745604686066997,0.01568383278803322,0.25056176763482196,FU
eevee,-3.32122434660425,-0.519163608984643,0.07203500718269484,0.004465864811745123,0.000109123335413954,2.1008563320849312e-06,0.004577089003491162,FU
vaporeon,0.028827482548634542,2.75639902494811,2.5428665042293606,2.3151142787787723e-07,0.002116621352477791,0.0018013832492033077,0.0039182361131089765,UU
jolteon,-1.743615586158561,4.9968184946920315,-4.217644349333113,0.0004748775567149424,0.0039000242589509056,0.0027785618617442785,0.007153463677410127,RU
flareon,1.5950141625494267,-0.29560554364658786,-5.926403527067788,0.0005589027666407552,1.919695385245968e-05,0.007715953655242228,0.008294053375735442,PU
porygon,-7.892683131826159,11.210691278179356,-0.9996916326963392,0.007525175170555717,0.015182107597065127,0.00012072560573224258,0.02282800837335309,FU
omanyte,-2.062018605793882,-6.75964390902954,6.605274103577914,0.001309595738042009,0.014073422649076473,0.013437973577540365,0.02882099196465885,FU
omastar,4.465331921064662,-5.255828098995884,7.219736901880959,0.004648646302081729,0.006440229069994769,0.01215239152220617,0.023241266894282665,RU
kabuto,-3.3549280156648633,-8.758821520334923,3.867377040287466,0.004210589279706203,0.028699069858434435,0.005595121181303387,0.03850478031944403,FU
kabutops,9.038808220937195,-6.178763853470116,4.59523735546898,0.017227704444635308,0.008050229525692414,0.0044526746799790845,0.029730608650306807,NU
aerodactyl,13.135276087182673,-5.996337899903233,-18.885872454107187,0.030723111511116816,0.006402638498721483,0.06351274610373224,0.10063849611357054,UU
snorlax,14.713423061855746,7.023833919531261,9.018616741135409,0.021028654501261516,0.004792173226178822,0.007900669651258267,0.0337214973786986,UU
articuno,-1.463918623091276,1.2669154750541507,-12.228251260574552,0.0005309024324234497,0.00039762723734596933,0.037043289992361776,0.037971819662131194,FU
zapdos,-2.1742652318078655,3.3863452682846993,-18.835963111710036,0.0010958026388297347,0.0026580905535015676,0.08223997355969259,0.08599386675202389,OU
moltres,-0.503674365638096,-0.9244807796760788,-21.77927485393683,6.793986494597753e-05,0.0002288868044212246,0.12703161352180523,0.12732844019117243,RU
dratini,-2.849274540306915,-6.829017363500699,-2.065493963234318,0.00290345062609229,0.016678703342776106,0.001525786297133374,0.02110794026600177,FU
dragonair,3.425415942343708,-0.3807210293562022,-2.789103987820523,0.0034975262241579044,4.320640001770741e-05,0.0023188025186021044,0.005859535142777716,FU
dragonite,18.35984671160372,3.758644475254231,-13.951626508906967,0.025286771364949504,0.0010597850206082585,0.01460175183168739,0.040948308217245155,OU
mewtwo,10.271955537560473,26.872286151633787,3.7611889115830652,0.008004431121024828,0.054781439618818935,0.00107318477854659,0.06385905551839036,UB
mew,24.083889289529566,29.140271713227616,-8.51002016298953,0.04682163841917572,0.0685457537481119,0.005845942517135785,0.12121333468442341,OU
chikorita,-9.180563088239833,-8.471476838012276,2.7814850885658924,0.23950848044451697,0.20393910645387664,0.021985468704066716,0.4654330556024603,FU
bayleef,-6.475848938953411,-0.5379255897980793,1.3668576199510838,0.030158713903905187,0.00020809603619844497,0.0013435875004356723,0.0317103974405393,FU
meganium,-1.9813769983208536,0.11765252507076163,-0.723343904854644,0.001323686108662725,4.667166367739266e-06,0.00017641699889222418,0.0015047702739226885,FU
cyndaquil,0.14438952449054376,-6.949168072235356,-4.6751981373825515,5.91872812741658e-06,0.01370953265510511,0.006205218256290383,0.01992066963952291,FU
quilava,3.3616824816658903,-5.66847662671765,-5.509738356164285,0.0028717624321192574,0.008165219204224845,0.007714309865382418,0.01875129150172652,FU
typhlosion,14.321636396063745,-2.3358811461595295,-1.3285045931114667,0.030863585525432495,0.0008210367065115622,0.00026557501315661245,0.03195019724510067,NU
totodile,0.6011909613478705,-7.3142093690037235,4.5835360602625626,0.00026327834393202564,0.0389695174564508,0.015303527818951525,0.05453632361933436,FU
croconaw,7.623836209547771,-5.488680761292798,3.604834798917908,0.030713304054029177,0.015918984786078255,0.006866732954445511,0.053499021794552945,FU
feraligatr,19.010112793713517,-3.902394339566835,3.512136395570154,0.07972471933305376,0.003359587197918881,0.0027212369467258532,0.0858055434776985,NU
sentret,-7.298907233584407,-6.69086907099966,3.4360843448947733,0.07202065645468711,0.06052104952748065,0.01596132789006234,0.14850303387223007,FU
furret,8.291539398495637,5.147817398239998,1.4566719976927098,0.028384011919419885,0.010940815889186328,0.0008760461522175464,0.040200873960823766,FU
hoothoot,-10.064405510514872,-9.078743489108573,3.721629439980423,0.22463337172040337,0.1827887713193013,0.030715973148819867,0.43813811618852455,PU
noctowl,-5.529011252948202,5.669377670334081,-16.871531897621153,0.008743585805354868,0.00919317243864232,0.08141485680871215,0.09935161505270934,FU
ledyba,-10.56846821445588,-8.651259372413007,3.0037946417181267,0.0837231100887221,0.05610220453716619,0.006763348063826901,0.14658866268971518,PU
ledian,-0.04297220795742529,0.13285283138452986,-1.8951897651826624,4.4373761034600215e-07,4.241236906731801e-06,0.0008630904424295711,0.000867775416946649,FU
spinarak,-7.421804764482511,-8.93575096957364,0.4648229852139585,0.02077972512887097,0.030121934568897904,8.15071932095678e-05,0.05098316689097844,FU
ariados,-1.5236791272898302,-3.256978500915741,-2.7982681145569757,0.000468950314549276,0.002142740501861919,0.001581679343028341,0.004193370159439536,FU
crobat,-1.6664765784468067,-0.6712661308671901,-21.313293160533306,0.0004802505797600668,7.792179343809653e-05,0.07855441280367656,0.07911258517687472,UU
chinchou,-8.519441800643266,-1.3003927272882452,3.3705368991763374,0.025159190665429716,0.0005861698134414491,0.003937971397564858,0.029683331876436025,FU
lanturn,-4.130102422451413,2.7530486475351106,4.4536125011032555,0.0026716967997109232,0.0011871163807816805,0.0031066360759727137,0.006965449256465317,NU
pichu,-2.0032985202464397,2.6542734000514843,4.37985730562106,0.0015541091141695565,0.0027282331179058123,0.007428653300518887,0.011710995532594255,FU
cleffa,-4.005644974444503,11.45149259308291,3.2522050799127946,0.004708187945596486,0.038479823820160484,0.003103592756564023,0.04629160452232099,FU
igglybuff,-5.722880833843722,1.6371967377466268,2.705247365223006,0.01955873275740348,0.0016007114383490984,0.004370441109137935,0.02552988530489051,FU
togepi,-5.453862849646862,9.732645544105004,0.3580872989228582,0.0066603265075885305,0.021210402461026307,2.8712098131794237e-05,0.027899441066746633,FU
togetic,-3.971300736861776,21.474162068430136,-11.713319644478302,0.0020104535541364465,0.05878424499074779,0.01748994651831936,0.0782846450632036,PU
natu,-11.772612060657456,12.104641837119367,-9.586623109677157,0.016189592679877095,0.01711567942156216,0.010735482385595095,0.04404075448703435,FU
xatu,-9.962591375228365,19.60631427915257,-17.84624182552568,0.009507735228770488,0.036823440512011654,0.030508860757581083,0.07684003649836323,NU
mareep,-9.675546081271941,-8.545474571763094,3.0760124982816954,0.29714912084957085,0.23179061659609568,0.03003306595321324,0.5589728033988798,FU
flaaffy,-7.774270670073967,1.5368948895943673,1.7558726032530219,0.01897850614450897,0.0007417047217726395,0.0009681189386732441,0.020688329804954855,FU
ampharos,2.2635330562421494,7.171335625803481,2.0578792247543403,0.0010264535101964336,0.010303047416922272,0.0008484091961702437,0.012177910123288949,UU
bellossom,-8.103761546974276,1.69620639162539,1.3367668243388529,0.01709985967897661,0.0007491635354233867,0.00046529732659915943,0.018314320540999157,FU
marill,0.5469968259293196,-3.1889875557676657,8.723972370027147,5.8969533523033164e-05,0.002004304626067721,0.014999840557464245,0.017063114717055,FU
azumarill,7.573409911123461,1.5463444125636965,12.26297895063205,0.008796767720142502,0.00036673525034387685,0.023063869006978745,0.03222737197746513,OU
sudowoodo,8.717820332386228,-2.225147388049428,9.83229897031945,0.02676023072174787,0.0017433781177113943,0.03403957869607918,0.06254318753553845,FU
politoed,5.588699362386739,3.002969090124185,10.220150016249024,0.005783607575461637,0.0016698560950774075,0.01934157621432491,0.026795039884863956,FU
hoppip,-9.728050395157705,-2.7560215947188382,-0.1270579423925342,0.041277459456759334,0.003313039152691259,7.041496568361208e-06,0.044597540106018956,FU
skiploom,-10.569775912257919,-4.4323925290922705,0.3823839256719952,0.054098174440369434,0.00951321864354533,7.080277914274384e-05,0.06368219586305751,FU
jumpluff,-6.967085699250679,0.8460185932295081,-2.6406032085493925,0.01877129762880837,0.00027679089883897684,0.002696486707392229,0.021744575235039577,FU
aipom,4.446526152426165,3.192327250996062,4.049362926775304,0.004369795328902381,0.0022523413222257462,0.0036240384687302716,0.010246175119858399,FU
sunkern,-6.060412086081039,-3.971538401020604,-0.14697709772343448,0.019428064413753655,0.008343394056772653,1.1426798212155555e-05,0.027782885268738462,FU
sunflora,-6.08179291087504,-2.629330253348363,-1.6366801951495111,0.015362592937681234,0.0028713857721164647,0.0011125740383275539,0.019346552748125252,FU
yanma,-7.490216601397213,-3.1471092541178862,-9.854504724910187,0.017621301261968057,0.0031108055323417205,0.030501333492466066,0.051233440286775844,FU
wooper,-4.857814386194802,-5.588990799410179,7.1290010127480326,0.00947461996528363,0.012541421238273906,0.0204050338013539,0.042421075004911435,FU
quagsire,11.34966157427563,-0.30207948767203696,12.812935248125775,0.02648942127969344,1.8765023759557795e-05,0.03376011437599008,0.06026830067944308,RU
